day,customer_id,customer_type,total_sales
2018-01-01,65798701081,Returning,30.800
2018-01-01,263760969753,First-time,82.800
2018-01-01,4507624326,Returning,26.000
2018-01-01,5982990732,Returning,128.160
2018-01-01,31019499545,Returning,66.000
2018-01-01,255773147161,Returning,184.000
2018-01-01,263899152409,First-time,225.020
2018-01-01,86280929305,Returning,41.610
2018-01-01,4984040460,Returning,115.140
2018-01-01,263766736921,First-time,76.480
2018-01-01,174183546905,Returning,25.200
2018-01-01,5029174988,Returning,42.900
2018-01-01,5439119116,Returning,0.000
2018-01-01,138477895705,Returning,93.640
2018-01-01,6645033484,Returning,59.550
2018-01-01,6416670860,Returning,99.500
2018-01-01,5818719308,First-time,238.640
2018-01-01,162572140569,Returning,134.900
2018-01-01,124926328857,Returning,99.000
2018-01-01,210888753177,First-time,99.000
2018-01-01,78394982425,Returning,25.840
2018-01-01,38603030553,Returning,100.900
2018-01-01,263850491929,First-time,44.900
2018-01-01,5702242572,Returning,37.520
2018-01-01,5935171532,Returning,341.190
2018-01-01,4687788300,Returning,56.810
2018-01-01,167278673945,Returning,151.920
2018-01-01,263541129241,First-time,54.000
2018-01-01,167058833433,Returning,42.650
2018-01-01,5129411916,Returning,113.000
2018-01-01,169207070745,Returning,35.500
2018-01-01,263541424153,First-time,91.000
2018-01-01,229005787161,Returning,32.200
2018-01-01,125248307225,Returning,25.660
2018-01-01,3859097734,Returning,31.200
2018-01-01,263567802393,First-time,210.000
2018-01-01,78287306777,Returning,48.830
2018-01-01,5397940620,Returning,150.160
2018-01-01,251479883801,Returning,68.100
2018-01-01,171030478873,Returning,68.100
2018-01-01,263792820249,First-time,32.730
2018-01-01,5587552012,Returning,28.410
2018-01-01,5492434764,Returning,75.960
2018-01-01,3941963526,Returning,145.920
2018-01-01,6132843660,Returning,399.800
2018-01-01,5997542796,Returning,81.510
2018-01-01,3922516102,Returning,28.410
2018-01-01,4036821126,Returning,48.740
2018-01-01,151995809817,Returning,144.400
2018-01-02,227294248985,Returning,57.000
2018-01-02,3462051462,Returning,46.700
2018-01-02,173788102681,Returning,103.260
2018-01-02,264751710233,First-time,28.000
2018-01-02,6152712076,Returning,46.100
2018-01-02,97075691545,Returning,104.790
2018-01-02,160253935641,Returning,89.320
2018-01-02,161639399449,Returning,211.900
2018-01-02,265126805529,First-time,93.250
2018-01-02,264061321241,First-time,274.500
2018-01-02,4407941190,Returning,315.720
2018-01-02,13688668185,Returning,82.500
2018-01-02,121587564569,Returning,131.700
2018-01-02,265361129497,First-time,52.600
2018-01-02,3481578118,Returning,51.300
2018-01-02,5722543244,Returning,38.000
2018-01-02,3410756614,Returning,142.120
2018-01-02,265205022745,First-time,0.000
2018-01-02,265460121625,First-time,33.250
2018-01-02,185469206553,Returning,47.000
2018-01-02,6575743820,Returning,28.410
2018-01-02,4945432460,Returning,99.000
2018-01-02,263903576089,First-time,43.610
2018-01-02,256569901081,Returning,-0.200
2018-01-02,162855157785,Returning,40.800
2018-01-02,5767769804,Returning,37.200
2018-01-02,264649015321,First-time,30.630
2018-01-02,180548993049,Returning,52.800
2018-01-02,3893025222,Returning,415.080
2018-01-02,265489874969,First-time,139.500
2018-01-02,5184609868,Returning,84.200
2018-01-02,128000294937,Returning,53.300
2018-01-02,6294647500,Returning,67.800
2018-01-02,27894513689,Returning,56.820
2018-01-02,202292854809,Returning,56.810
2018-01-02,3957247494,Returning,88.160
2018-01-02,176988028953,Returning,94.800
2018-01-02,5386790284,Returning,227.500
2018-01-02,6645801996,Returning,33.920
2018-01-02,5927789004,Returning,26.660
2018-01-02,160321863705,Returning,243.750
2018-01-02,6505468300,Returning,59.000
2018-01-02,209815142425,Returning,109.440
2018-01-02,6585535436,Returning,221.900
2018-01-02,264845000729,First-time,88.160
2018-01-02,4361582470,Returning,64.000
2018-01-02,265479520281,First-time,27.360
2018-01-02,148598423577,Returning,25.250
2018-01-02,265415360537,First-time,56.720
2018-01-02,251260174361,Returning,78.200
2018-01-02,6565958988,Returning,60.000
2018-01-02,4725250252,Returning,30.000
2018-01-02,107215454233,Returning,42.800
2018-01-02,257279295513,Returning,23.140
2018-01-02,6161965260,Returning,131.000
2018-01-02,171386437657,Returning,39.800
2018-01-02,5403397452,Returning,189.910
2018-01-02,209899651097,Returning,140.600
2018-01-02,76837683225,Returning,116.330
2018-01-02,6083783116,Returning,40.530
2018-01-02,129447460889,Returning,25.400
2018-01-02,5282795212,Returning,204.640
2018-01-02,201777283097,Returning,71.400
2018-01-02,168503148569,Returning,37.600
2018-01-02,6648942924,Returning,54.000
2018-01-02,5611563852,Returning,26.200
2018-01-02,173131857945,First-time,56.820
2018-01-02,192200802329,Returning,60.230
2018-01-02,265442164761,First-time,49.310
2018-01-02,5982163404,Returning,140.130
2018-01-02,91315109913,Returning,38.400
2018-01-02,265294446617,First-time,66.200
2018-01-02,6334115788,Returning,79.000
2018-01-02,264148910105,Returning,189.250
2018-01-03,265193324569,First-time,25.700
2018-01-03,266180132889,First-time,49.900
2018-01-03,3457184518,Returning,28.410
2018-01-03,211314507801,Returning,159.510
2018-01-03,167107035161,Returning,111.340
2018-01-03,265601941529,First-time,60.000
2018-01-03,5703487436,Returning,49.250
2018-01-03,152219222041,Returning,404.700
2018-01-03,4684566668,Returning,28.410
2018-01-03,4945432460,Returning,51.100
2018-01-03,6249087500,Returning,188.200
2018-01-03,5135124812,Returning,71.300
2018-01-03,6213482508,Returning,78.220
2018-01-03,231131316249,Returning,27.980
2018-01-03,107189272601,Returning,49.420
